Item_Holding_Location,OCLC_Number,Item_Barcode,Item_Status_Current_Status
MITM,33046205,I0027021988,AVAILABLE
MITM,33046205,I0027021996,AVAILABLE
MITM,33131781,I0027187475,AVAILABLE
MITM,33404410,I0027187483,AVAILABLE
MITM,33406375,I0027128277,AVAILABLE
MITM,33665818,I0027132739,AVAILABLE
MITM,33863289,I0027190321,AVAILABLE
MITM,33863343,I0027156115,AVAILABLE
MITM,34094693,I0027173311,AVAILABLE
MITM,34131020,I0027247893,AVAILABLE
MITM,34150660,I0027260516,AVAILABLE
MITM,34150660,I0027260524,AVAILABLE
MITM,34411774,I0027023168,AVAILABLE
MITM,34476569,I0027018799,AVAILABLE
MITM,34505807,I0027163390,AVAILABLE
MITM,34604317,I0027132153,AVAILABLE
MITM,34715284,I0027084334,AVAILABLE
MITM,34839706,I0027128285,AVAILABLE
MITM,34886491,I0027125457,AVAILABLE
MITS,34970146,I0029106873,AVAILABLE
MITM,34995864,I0027173248,AVAILABLE
MITM,35136374,I0027130834,AVAILABLE
MITM,35136374,I0027134650,AVAILABLE
MITM,35198419,I0027173280,AVAILABLE
MITM,35223032,I0027092311,AVAILABLE
MITM,35252050,I0027019575,AVAILABLE
MITM,35280685,I0027019541,AVAILABLE
MITM,35280685,I0027019795,AVAILABLE
MITM,35325371,I0027025110,AVAILABLE
MITM,35714170,I0027194367,AVAILABLE
MITM,35714170,I0027196872,AVAILABLE
MITM,35777319,I0027019559,AVAILABLE
MITM,35900423,I0027190347,AVAILABLE
MITM,35911811,I0027165910,AVAILABLE
MITM,35911811,I0027167360,AVAILABLE
MITM,36406425,I0027202982,AVAILABLE
MITM,36477043,I0027061077,AVAILABLE
MITM,36590077,I0027217571,AVAILABLE
MITM,36590077,I0027217589,AVAILABLE
MITM,36590077,I0027217597,AVAILABLE
MITM,36590077,I0027217602,AVAILABLE
MITS,36755821,I0029005459,AVAILABLE
MITM,36986861,I0027128170,AVAILABLE
MITM,37024144,I0027202819,AVAILABLE
MITM,37024144,I0027202958,AVAILABLE
MITM,37055317,I0027129477,AVAILABLE
MITM,37077419,I0027124401,AVAILABLE
MITM,37078386,I0027217848,AVAILABLE
MITM,37084130,I0027111393,AVAILABLE
MITM,37084130,I0027130232,AVAILABLE
MITM,37089689,I0027106916,AVAILABLE
MITM,37149058,I0027092303,AVAILABLE
MITM,37293393,I0027125627,AVAILABLE
MITM,37315274,I0027223815,AVAILABLE
MITM,37315274,I0027223823,AVAILABLE
MITM,37315323,I0027130931,AVAILABLE
MITM,37429145,I0027133094,AVAILABLE
