SNo,Unitcode,Unit title,Capacity,Total enrolled,Lab and tut. capacity,Not Running,,
1,AIM100,Academic Integrity Module,600,424,,FALSE,,`
2,BA206,Accounting Information Systems and Cloud Technologies,25,,,FALSE,,
3,BA214,Corporate Accounting,25,8,50,FALSE,,
4,BA215,Taxation Law,25,6,50,FALSE,,
5,BA216,Management Accounting for Planning and Control,25,7,50,FALSE,,
6,BA217,Company Law,25,1,50,FALSE,,
7,BA301,Introduction to Finance,25,5,50,FALSE,,
8,BA302,Accounting Theory,25,8,50,FALSE,,
9,BA313,Auditing,25,7,50,FALSE,,
10,BB101,Business Communications,26,25,58,FALSE,,
11,BB106,Economic Principles,25,22,100,FALSE,,
12,BB107,Commercial Law,25,15,100,FALSE,,
13,BB108,Business Statistics,25,19,100,FALSE,,
14,BB212,Human Resource Development,25,9,50,FALSE,,
15,BB313,Critical Thinking and Decision Making,25,13,50,FALSE,,
16,BB330,Industry Based Capstone Project,10,10,,FALSE,,
17,BE101,Engineering Mathematics ,25,6,25,FALSE,,
18,BE201,Digital Communication,25,7,25,FALSE,,
19,BE202,Local and Wide Area Network Technologies,25,6,25,FALSE,,
20,BE203,Telecommunication Systems,25,5,25,FALSE,,
21,BE301,Telecommunication Modelling and simulation,25,11,25,FALSE,,
22,BE302,Mobile and Satellite Communication Systems,25,12,25,FALSE,,
23,BE303,Project 1,25,6,50,FALSE,,
24,BE304,Project 2,25,10,50,FALSE,,
25,BE700,Industry experience,25,10,,FALSE,,
26,BK202,Consumer Behaviour,25,6,50,FALSE,,
27,BK208,Digital Marketing Foundations,25,9,50,FALSE,,
28,BK209,Digital Content Creation and Management,25,,,FALSE,,
29,BK210,Market Research,25,,,FALSE,,
30,BK213,Services Marketing,25,14,50,FALSE,,
31,BK214,Integrated Marketing Communications,25,4,50,FALSE,,
32,BK217,"Social Media, Video and Search Marketing",25,2,50,FALSE,,
33,BK307,Designing the User Experience,25,,,FALSE,,
34,BM203,Project Management,25,15,50,FALSE,,
35,BM212,Strategic Human Resource Management,25,4,50,FALSE,,
36,BM302,Strategic Management,5,1,25,FALSE,,
37,BN103,Platform Technologies,100,66,,FALSE,,
38,BN104,Operating Systems,125,88,50,FALSE,,
39,BN106,Networking Fundamentals,100,63,100,FALSE,,
40,BN108,Introduction to Programming ,75,48,100,FALSE,,
41,BN109,Web and Multimedia Systems,75,50,100,FALSE,,
42,BN110,Information Systems Fundamentals,25,23,100,FALSE,,
43,BN111,Programming Fundamentals,25,1,100,FALSE,,
44,BN200,Network Security Fundamentals,75,61,50,FALSE,,
45,BN201,Professional Issues of IT,25,17,50,FALSE,,
46,BN202,Internetworking Technologies,35,33,100,FALSE,,
47,BN204,Database Technologies,17,17,51,FALSE,,
48,BN205,Project Management,26,25,100,FALSE,,
49,BN206,System Administration and Management,50,46,100,FALSE,,
50,BN208,Networked Applications,25,15,50,FALSE,,
51,BN209,Software Engineering,35,29,100,FALSE,,
52,BN223,Cyber Security Principles,26,25,50,FALSE,,
53,BN301,Industry Based Project 1 ,50,27,,FALSE,,
54,BN303,Wireless Networks and Security,35,32,100,FALSE,,
55,BN304,Industry Based Project 2,50,33,,FALSE,,
56,BN305,Virtual Private Networks,35,27,100,FALSE,,
57,BN309,Computer Forensics,50,26,100,FALSE,,
58,BN321,Advanced Network Design,40,25,100,FALSE,,
59,BN323,Ethical Hacking and Security Governance,25,22,100,FALSE,,
60,BN324,Enterprise Cyber Security and Management,30,20,100,FALSE,,
61,BUACC2603,Corporate Accounting,25,6,25,FALSE,,
62,BUACC3701,Financial Management,25,5,25,FALSE,,
63,BUACC3706,Financial Accounting,1,,,TRUE,,
64,BUACC5935,Auditing and Assurance Services,3,,25,FALSE,,
65,BUENT3705,WORK INTEGRATED LEARNING: INDUSTRY BASED CASE STUDIES,25,6,25,FALSE,,
66,BUGEN1502,Business Statistics,25,19,42,FALSE,,
67,BUHRM1501,Introduction to Human Resource,25,5,25,FALSE,,
68,BULAW2611,Organisations Law,4,,25,FALSE,,
69,BUMGT1501,Management Principles,25,9,25,FALSE,,
70,BUMGT2621,Business Communications,25,3,25,FALSE,,
71,BUMGT5922,Effective Business Communication,25,5,25,FALSE,,
72,BUMGT5977,Innovation And Entrepreneurship,3,,25,FALSE,,
73,BUMGT6973,Project Management,2,,25,FALSE,,
74,BUMKT1501,Introduction to Marketing,25,1,25,FALSE,,
75,ITECH1001,Communication and Technology,25,3,25,FALSE,,
76,ITECH1101,IT Problem Solving,25,4,25,FALSE,,
77,ITECH1102,Networking and Security,25,7,25,FALSE,,
78,ITECH1103,Big Data and Analytics,25,3,25,FALSE,,
79,ITECH1104,Cloud and Enterprise Computing,25,10,25,FALSE,,
80,ITECH1400,Foundations of Programming,25,3,25,FALSE,,
81,ITECH2000,Mobile Development Fundamentals,2,,25,FALSE,,
82,ITECH2001,Game Development Fundamentals,25,3,25,FALSE,,
83,ITECH2004,Data Modelling,25,9,25,FALSE,,
84,ITECH2250,IT Project management Techniques,25,11,25,FALSE,,
85,ITECH2300,MOBILE NETWORKS AND WIRELESS COMMUNICATIONS,20,17,50,FALSE,,
86,ITECH2305,Analysing The Modern Business,13,12,30,FALSE,,
87,ITECH2309,Software Engineering,25,4,25,FALSE,,
88,ITECH3001,User Experience,25,8,28,FALSE,,
